,age,Life_expectancy,mu,p_die
0,0,84.15,0.011883541295306001,0.0118132108855592
1,1,83.32,0.012001920307249161,0.011930184537520594
2,2,82.34,0.012144765606023802,0.012071315585327147
3,3,81.35,0.012292562999385373,0.012217318080050998
4,4,80.35,0.012445550715619168,0.012368425137636585
5,5,79.35,0.012602394454946441,0.012523316819702868
6,6,78.36,0.012761613067891782,0.012680528971632188
7,7,77.36,0.012926577042399173,0.012843387682402119
8,8,76.36,0.013095861707700367,0.013010484015295809
9,9,75.36,0.01326963906581741,0.013181985543899932
10,10,74.36,0.013448090371167294,0.013358068795112144
11,11,73.36,0.013631406761177753,0.013538919855185405
12,12,72.36,0.013819789939192924,0.013724735025675616
13,13,71.37,0.014011489421325485,0.013913785362206665
14,14,70.38,0.014208581983518046,0.014108116469555343
15,15,69.38,0.014413375612568464,0.014310000173281101
16,16,68.39,0.014622020763269484,0.014515638158409283
17,17,67.39,0.014838996883810655,0.014729441536143084
18,18,66.4,0.01506024096385542,0.014947402702247703
19,19,65.41,0.015288182235132244,0.015171911255195791
20,20,64.43,0.015520720161415489,0.015400894512020313
21,21,63.44,0.015762925598991173,0.015639340891531073
22,22,62.45,0.016012810248198558,0.015885286779195318
23,23,61.46,0.016270745200130166,0.016139091626467428
24,24,60.48,0.016534391534391537,0.016398448757602324
25,25,59.49,0.016809547823163556,0.016669055678767197
26,26,58.51,0.017091095539224065,0.016945871290042325
27,27,57.53,0.01738223535546671,0.01723203582946453
28,28,56.55,0.01768346595932803,0.01752803103312195
29,29,55.57,0.017995321216483715,0.0178343723121005
30,30,54.58,0.01832172957127153,0.018154907063306913
31,31,53.6,0.018656716417910446,0.018483757171572135
32,32,52.61,0.019007793195210038,0.01882828424970462
33,33,51.63,0.01936858415649816,0.01918221828427935
34,34,50.65,0.019743336623889437,0.01954971330390498
35,35,49.66,0.02013693113169553,0.01993553721785779
36,36,48.68,0.020542317173377157,0.020332761151059087
37,37,47.7,0.020964360587002094,0.02074613601955322
38,38,46.73,0.021399529210357374,0.021172183867405714
39,39,45.75,0.02185792349726776,0.021620770123646382
40,40,44.77,0.022336385972749607,0.022088775901403346
41,41,43.8,0.022831050228310504,0.022572394004920615
42,42,42.83,0.023348120476301658,0.023077662098739182
43,43,41.85,0.02389486260454002,0.023611640709284232
44,44,40.87,0.02446782481037436,0.024170914100816288
45,45,39.91,0.025056376847907794,0.024745071320332213
46,46,38.95,0.025673940949935813,0.02534716781888302
47,47,38.01,0.026308866087871613,0.025965802988502373
48,48,37.04,0.026997840172786176,0.026636656181294627
49,49,36.08,0.02771618625277162,0.027335616845845068
50,50,35.13,0.028465698832906346,0.028064367899111153
51,51,34.18,0.029256875365710942,0.028833036446271554
52,52,33.25,0.03007518796992481,0.0296274295380744
53,53,32.3,0.030959752321981428,0.03048540699803659
54,54,31.37,0.031877590054191905,0.03137485582613353
55,55,30.45,0.03284072249589491,0.03230732101052036
56,56,29.54,0.033852403520649964,0.03328582228260568
57,57,28.64,0.034916201117318434,0.03431366369698252
58,58,27.73,0.036062026685899744,0.035419538101770454
59,59,26.82,0.03728560775540641,0.03659905872825031
60,60,25.92,0.038580246913580245,0.037845508286541985
61,61,25.03,0.03995205753096284,0.039164497125543485
62,62,24.16,0.041390728476821195,0.04054582936774276
63,63,23.29,0.042936882782310004,0.042028147323138976
64,64,22.4,0.044642857142857144,0.04366102951833084
65,65,21.54,0.04642525533890437,0.0453640881589259
66,66,20.66,0.0484027105517909,0.047249972678581886
67,67,19.81,0.05047955577990914,0.04922663370641023
68,68,18.96,0.05274261603375527,0.0513758582924555
69,69,18.13,0.05515719801434087,0.053663625938590975
70,70,17.32,0.057736720554272515,0.05610157622015788
71,71,16.51,0.06056935190793458,0.05877150923679075
72,72,15.73,0.06357279084551812,0.061594190537781146
73,73,14.94,0.06693440428380187,0.06474345185218466
74,74,14.15,0.0706713780918728,0.06823195878717603
75,75,13.38,0.07473841554559042,0.07201379865389013
76,76,12.64,0.0791139240506329,0.07606533992986664
77,77,11.9,0.08403361344537814,0.0805996486377708
78,78,11.19,0.08936550491510277,0.08548874587782607
79,79,10.49,0.09532888465204957,0.09092609515708194
80,80,9.85,0.10152284263959391,0.0965394583170287
81,81,9.21,0.10857763300760043,0.1028907531754627
82,82,8.59,0.11641443538998836,0.10989374468699331
83,83,8.0,0.125,0.11750309741540454
84,84,7.42,0.1347708894878706,0.12608388787884695
85,85,6.84,0.14619883040935672,0.13601410056475927
86,86,6.31,0.1584786053882726,0.1465587773607967
87,87,5.82,0.1718213058419244,0.1578703566283608
88,88,5.34,0.18726591760299627,0.17077679798151135
89,89,4.9,0.2040816326530612,0.18460419445253706
90,90,4.5,0.2222222222222222,0.19926259708319194
91,91,4.15,0.24096385542168672,0.21412996918411775
92,92,3.82,0.2617801047120419,0.23031974583847126
93,93,3.54,0.2824858757062147,0.24609270970782438
94,94,3.29,0.303951367781155,0.2621032488657056
95,95,3.02,0.33112582781456956,0.2818851954609596
96,96,2.78,0.3597122302158274,0.30212287487262823
97,97,2.6,0.3846153846153846,0.31928760167661463
98,98,2.46,0.4065040650406504,0.3340256116023983
99,99,2.34,0.4273504273504274,0.34776504878959347
100,100,2.22,0.4504504504504504,0.3626590035868926
