,Age,p_die_local_oc,p_die_regional_oc,p_die_distant_oc
0,20,0.029171271555541334,0.10633329207884434,0.20555349628544817
1,21,0.029406383078731224,0.10654971680420255,0.20574589224789608
2,22,0.029648889223675146,0.10677294842256424,0.20594433936151701
3,23,0.02989914441462216,0.10700331318833733,0.20614912765800975
4,24,0.03015487423646479,0.10723871745822278,0.20635839594283256
5,25,0.030421696511356622,0.10748433254666856,0.20657674138028226
6,26,0.03069464064304417,0.1077355829232437,0.20680009644258668
7,27,0.030976802950916094,0.10799531881010749,0.2070309949032535
8,28,0.031268658433610264,0.1082639774527353,0.20726982546215933
9,29,0.031570715293791296,0.10854202666155466,0.2075170039906299
10,30,0.03188676711955629,0.1088329585081188,0.2077756348496218
11,31,0.03221101800570514,0.10913143774907563,0.20804097514629805
12,32,0.032550726607220026,0.10944414611737319,0.20831896476779155
13,33,0.03289971060164387,0.10976539266506613,0.20860454460911604
14,34,0.033262065920295125,0.11009894777651785,0.208901066444091
15,35,0.03364249378956552,0.11044913902196751,0.20921237737031562
16,36,0.034034162240032306,0.11080967744081516,0.20953288666507774
17,37,0.034441755742518954,0.11118487517947395,0.2098664277145954
18,38,0.03486184498298417,0.11157157548773644,0.21021019424988374
19,39,0.03530415741483217,0.11197873267546787,0.21057214641995825
20,40,0.03576561777122689,0.11240351589979225,0.21094976767899132
21,41,0.03624247210297826,0.1128424695775403,0.21133998610325244
22,42,0.036740673633236964,0.1133010737662945,0.21174767332166988
23,43,0.03726718414152652,0.1137857369193751,0.21217852628288147
24,44,0.0378186356638035,0.11429335876043967,0.21262978892170237
25,45,0.03838476285226322,0.11481448983737641,0.2130930609205134
26,46,0.03897843856741556,0.11536097986840699,0.2135788763711941
27,47,0.03958842164757992,0.1159224811457863,0.2140780364301862
28,48,0.04024989244163324,0.11653137786421652,0.21461932980588494
29,49,0.0409390776027978,0.1171657861960681,0.21518330234363248
30,50,0.04165763651114074,0.1178272336329349,0.21577131194380228
31,51,0.04241555463647273,0.11852491199379733,0.2163915298948479
32,52,0.04319883752887166,0.11924593911558701,0.21703250428822285
33,53,0.044044815513054614,0.1200246782875416,0.2177247831959871
34,54,0.044921824714042935,0.12083198229750802,0.2184424555031993
35,55,0.04584124865443773,0.12167832989922456,0.21919483654990402
36,56,0.04680606483237748,0.12256646193758114,0.21998436287605594
37,57,0.047819531092706424,0.12349937732205729,0.22081370043433057
38,58,0.04890993899195739,0.1245031189801521,0.22170600071119884
39,59,0.05007296311375142,0.1255737052820448,0.22265772414111373
40,60,0.05130198011468279,0.12670503931143773,0.22366345072376226
41,61,0.0526025218785976,0.1279022132748967,0.22472770729858826
42,62,0.05396453512518584,0.12915597293255932,0.22584226708659405
43,63,0.05542612172197081,0.13050139179380726,0.22703830952711013
44,64,0.05703616680166046,0.13198346957314566,0.2283558381981371
45,65,0.05871540685509913,0.13352924267029154,0.22972999035316177
46,66,0.0605749158268275,0.13524095680938286,0.23125165978663897
47,67,0.06252393172732573,0.13703506381554342,0.23284657434001832
48,68,0.06464309775173294,0.13898579731681182,0.23458072578151767
49,69,0.06689886920479893,0.14106227876943023,0.2364266638873449
50,70,0.0693027228734363,0.14327507277874796,0.23839378031739777
51,71,0.07193531481986604,0.14569842481720197,0.24054807736925699
52,72,0.07471851874821644,0.14826041811143353,0.2428256228983694
53,73,0.07782373521688923,0.1511188302057972,0.245366677045754
54,74,0.08126345269478474,0.15428515697856904,0.2481814593487648
55,75,0.0849924006173638,0.15771772599547507,0.2512329240951504
56,76,0.08898727796721384,0.16139508821724358,0.2545020036458163
57,77,0.09345817087452313,0.16551063200872684,0.2581606152367456
58,78,0.09827889032302561,0.16994819792857507,0.2621054961400827
59,79,0.10364019408357716,0.17488338221132116,0.26649274684984114
60,80,0.10917505003509387,0.1799783246580028,0.2710220184200094
61,81,0.11543751714177819,0.1857430473106404,0.27614670720574863
62,82,0.12234256642178654,0.19209927933931736,0.28179723247117716
63,83,0.1298454964899055,0.19900587225038835,0.28793701427366125
64,84,0.13830627798791784,0.20679418601391275,0.2948606230244638
65,85,0.14809760899899904,0.21580729645704877,0.30287304422766503
66,86,0.1584948103662308,0.2253781223351985,0.311381259974276
67,87,0.16964818848308916,0.23564502360403838,0.3205082686730626
68,88,0.1823741233105559,0.24735949388007128,0.33092212864028814
69,89,0.19600813298905362,0.25990986470054633,0.34207908249150765
70,90,0.21046152656581563,0.27321449432015965,0.3539065528345692
71,91,0.2251209670138129,0.2867087940882751,0.36590263501580356
72,92,0.24108431716875345,0.3014033680768472,0.3789657298198519
73,93,0.256636683986612,0.31571962391815034,0.3916925096121341
74,94,0.27242330341955623,0.33025151384321294,0.4046109825070081
75,95,0.29192858425129975,0.34820650384017315,0.42057250250196954
76,96,0.31188322412491565,0.3665751375663091,0.4369017410339584
77,97,0.3288078890005268,0.38215462043378745,0.4507514968590808
78,98,0.34333977650306435,0.39553150523722913,0.46264320018481797
79,99,0.35688705707608126,0.4080020402309459,0.47372918205859094
80,100,0.37157270844096335,0.4215204676573371,0.4857467131016774
